,Date,Close,Open,High,Low,Volume,Returns
261,2015-01-23,2588.53,2592.5,2604.0,2576.0,322740.0,0.5
262,2015-01-26,2593.99,2590.0,2613.5,2586.0,219220.0,0.21
263,2015-01-27,2578.61,2595.5,2602.5,2568.5,261370.0,-0.59
264,2015-01-28,2579.89,2574.0,2593.0,2568.0,286430.0,0.05
265,2015-01-29,2615.19,2590.5,2618.5,2588.0,321840.0,1.37
266,2015-01-30,2662.3,2610.5,2668.0,2607.0,25560.0,1.8
267,2015-02-02,2728.95,2695.0,2748.5,2686.5,311040.0,2.5
268,2015-02-03,2725.51,2735.0,2739.5,2707.0,331090.0,-0.13
269,2015-02-04,2764.34,2721.5,2766.0,2712.5,338340.0,1.42
270,2015-02-05,2754.55,2748.0,2779.0,2739.0,331620.0,-0.35
271,2015-02-06,2789.5,2760.0,2800.0,2760.0,343900.0,1.27
272,2015-02-09,2795.01,2802.0,2812.0,2784.5,299980.0,0.2
273,2015-02-10,2838.99,2792.0,2853.0,2791.0,381150.0,1.57
274,2015-02-11,2892.28,2860.5,2895.5,2859.5,391730.0,1.88
275,2015-02-12,2837.66,2873.5,2890.0,2829.0,364590.0,-1.89
276,2015-02-13,2843.72,2840.5,2868.5,2825.0,341510.0,0.21
277,2015-02-18,2851.95,2853.0,2858.0,2836.5,143790.0,0.29
278,2015-02-19,2874.5,2851.5,2877.0,2846.0,294030.0,0.79
279,2015-02-20,2883.94,2872.0,2892.0,2860.5,283140.0,0.33
280,2015-02-23,2877.33,2892.0,2909.0,2867.5,259440.0,-0.23
281,2015-02-24,2836.28,2884.0,2895.0,2830.0,403130.0,-1.43
282,2015-02-25,2877.71,2863.5,2888.5,2842.5,374840.0,1.46
283,2015-02-26,2882.29,2856.5,2910.0,2842.5,402270.0,0.16
284,2015-02-27,2878.2,2901.5,2919.0,2873.0,13170.0,-0.14
285,2015-03-02,2913.83,2889.0,2924.0,2879.0,269690.0,1.24
286,2015-03-03,2932.76,2921.0,2960.0,2916.5,309260.0,0.65
287,2015-03-04,3007.83,2993.0,3024.5,2975.0,483330.0,2.56
288,2015-03-05,3037.95,3004.0,3047.0,3002.0,384780.0,1.0
289,2015-03-06,3076.54,3035.0,3096.0,3006.5,355290.0,1.27
290,2015-03-09,3139.31,3084.0,3155.0,3084.0,338220.0,2.04
291,2015-03-10,3124.44,3190.0,3193.5,3110.0,382560.0,-0.47
292,2015-03-11,3151.14,3114.0,3160.0,3102.0,379590.0,0.85
